State,Crop,AVERAGE PHL (%),Avg Rainfall,Avg Humidity,Avg Temp,Risk Score
Edo,"Coconuts, in shell",30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,"Coffee, green",30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Kenaf,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Kola nuts,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Natural rubber,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Oil palm fruit,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Other citrus fruit,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Other fruits,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Other nuts,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Other stimulant crops,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Papayas,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Pineapples,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Plantains and cooking bananas,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Rice,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Sugar cane,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Sweet potatoes,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Edo,Taro,30.0,128.35395833333334,81.55552083333333,25.594895833333336,Medium
Ekiti,Bananas,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,"Cashew nuts, in shell",30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,"Cassava, fresh",30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Green corn (maize),30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Kenaf,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,"Mangoes, guavas and mangosteens",30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Okra,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Other citrus fruit,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Other nuts,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Other vegetables,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Plantains and cooking bananas,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Rice,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Sweet potatoes,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Ekiti,Yams,30.0,146.9544791666667,81.55,24.833541666666665,Moderate
Enugu,Bananas,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,"Cashew nuts, in shell",30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,"Cassava, fresh",30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Cocoa beans,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,"Coconuts, in shell",30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,"Coffee, green",30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Kenaf,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Kola nuts,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,"Mangoes, guavas and mangosteens",30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Okra,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Other citrus fruit,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Other fruits,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Other nuts,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Other stimulant crops,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Other vegetables,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Papayas,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Pineapples,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Plantains and cooking bananas,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Rice,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Sugar cane,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Sweet potatoes,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Taro,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
Enugu,Yams,30.0,114.48760416666666,81.36333333333333,25.63489583333333,Medium
FCT,Carrots and turnips,30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
FCT,"Cashew nuts, in shell",30.0,104.94760416666666,67.69208333333334,25.751770833333335,Low
